Day,Month,Year,Tmin(C),Tmax(C),Pcrp(mm),ET0(mm),,,
23,6,2019,12.73,31.06,0,9.17,,,
24,6,2019,14.08,31.53,0,8.63,,,
25,6,2019,15.44,35.03,0,10.11,,,
26,6,2019,16.83,35.03,1.78,10.26,,,
27,6,2019,17.41,33.3,1.52,9.12,,,
28,6,2019,15.1,33.71,0,8.71,,,
29,6,2019,15.71,34.08,0,8.53,,,
30,6,2019,16.87,35.88,0,9.46,,,
1,7,2019,15.95,35.61,1.27,9.01,,,
2,7,2019,17.92,31.23,0,6.44,,,
3,7,2019,15.95,35.47,0,8.89,,,
4,7,2019,17.48,36.22,0,10.17,,,
5,7,2019,17.65,35.44,2.03,8.63,,,
6,7,2019,15.3,27.26,50.29,4.99,,,
7,7,2019,16.19,27.73,1.02,5.49,,,
8,7,2019,17.31,33.26,1.27,8.72,,,
9,7,2019,14.73,35.06,0,8.28,,,
10,7,2019,15.2,34.72,0.25,7.95,,,
11,7,2019,18.94,32.82,0,7.27,,,
12,7,2019,16.53,34.15,0,7.02,,,
13,7,2019,17.51,33.47,0,7.19,,,
14,7,2019,14.42,33.13,0,7.03,,,
15,7,2019,17.27,34.72,0,7.57,,,
16,7,2019,21.11,35.13,0,7.75,,,
17,7,2019,19.21,34.83,0,8.3,,,
18,7,2019,20.57,37.58,0,9.35,,,
19,7,2019,20.47,37.85,0,9.64,,,
20,7,2019,18.9,38.83,0,9.97,,,
21,7,2019,18.53,35.74,1.52,8.24,,,
22,7,2019,18.09,26.13,0,4,,,
23,7,2019,14.66,29.26,0,5.93,,,
24,7,2019,14.12,31.74,0,7.37,,,
25,7,2019,15.78,33.26,0,8.68,,,
26,7,2019,17.51,33.16,0,8.62,,,
27,7,2019,17.85,32.14,0,7.88,,,
28,7,2019,17.31,34.72,50.04,7.38,,,
29,7,2019,17.72,32.92,0,7.36,,,
30,7,2019,16.59,33.16,0,7.07,,,
31,7,2019,18.12,33.71,0,7.05,,,
1,8,2019,17.1,34.59,0,7.64,,,
2,8,2019,17.85,35.91,0,7.75,,,
3,8,2019,18.43,30.11,4.06,3.75,,,
4,8,2019,17.85,32.62,0,6.32,,,
5,8,2019,16.83,34.52,0,6.84,,,
6,8,2019,17.82,34.76,0,6.34,,,
7,8,2019,19.24,37.03,0,7.69,,,
8,8,2019,21.18,34.38,1.78,6.52,,,
9,8,2019,18.05,34.62,0.25,6.04,,,
10,8,2019,17.44,34.89,0,6.57,,,
11,8,2019,19.04,34.06,0,6.33,,,
12,8,2019,20.63,33.23,0,6.16,,,
13,8,2019,16.87,32.52,0,5.98,,,
14,8,2019,14.08,30.41,7.11,5.88,,,
15,8,2019,16.05,33.74,0,7.33,,,
16,8,2019,17,36.01,0,8.35,,,
17,8,2019,17.07,37.24,0,7.74,,,
18,8,2019,16.43,37.85,0,7.21,,,
19,8,2019,19.01,34.83,0,6.76,,,
20,8,2019,21.45,34.66,0.25,6.62,,,
21,8,2019,17.31,34.32,8.38,7.72,,,
22,8,2019,16.22,30.14,9.65,6.13,,,
23,8,2019,15.58,31.23,8.64,6.69,,,
24,8,2019,14.43,31.67,0,6.25,,,
25,8,2019,17.14,36.63,0,7.4,,,
26,8,2019,17.99,34.93,0,8.11,,,
27,8,2019,17.34,23.32,0.25,2.13,,,
28,8,2019,18.12,30.68,0,5.94,,,
29,8,2019,17.99,35.37,0,7.48,,,
30,8,2019,15.64,34.42,0,7.19,,,
31,8,2019,16.26,33.5,0,6.76,,,
1,9,2019,16.32,32.11,1.02,6.08,,,
2,9,2019,16.05,33.03,0,6.53,,,
3,9,2019,15.14,33.37,0,6.89,,,
4,9,2019,15.48,31.77,0,5.61,,,
5,9,2019,14.39,32.45,0,6.16,,,
6,9,2019,15.54,32.72,0,6.16,,,
7,9,2019,16.53,33.16,0,6.28,,,
8,9,2019,18.97,29.73,0,5.91,,,
9,9,2019,17.31,30.92,0,6.61,,,
10,9,2019,14.63,29.6,0,5.5,,,
11,9,2019,17.34,31.7,0,6.24,,,
12,9,2019,16.83,30.72,0.51,5.99,,,
13,9,2019,15.07,27.05,0,4.14,,,
14,9,2019,15.61,29.8,0,5.23,,,
15,9,2019,15.3,28.71,0,5.4,,,
16,9,2019,16.59,28.82,0,6.08,,,
17,9,2019,15.3,31.19,0,6.14,,,
18,9,2019,14.12,33.5,0,5.93,,,
19,9,2019,15.64,30.38,0,5.04,,,
20,9,2019,15.71,26.64,7.62,4.09,,,
21,9,2019,15.71,26.13,2.54,3.19,,,
22,9,2019,14.9,27.32,0,5.2,,,
23,9,2019,13.13,30.11,0,5.51,,,
24,9,2019,17.31,31.09,0,6.33,,,
25,9,2019,13.37,32.99,0,7.12,,,
26,9,2019,13.81,31.8,0,5.73,,,
27,9,2019,13.23,31.13,0,7.52,,,
28,9,2019,15.47,27.56,0,5.24,,,
29,9,2019,17.65,30.01,0,5.25,,,
30,9,2019,17,25.35,3.05,3.14,,,
1,10,2019,15.3,23.15,75.95,2.03,,,
2,10,2019,16.43,25.35,1.02,3.18,,,
3,10,2019,9.67,17.88,68.83,0.71,,,
4,10,2019,11.3,19.75,22.35,1.39,,,
5,10,2019,14.12,26.51,0,4.59,,,
6,10,2019,8.22,19.58,0,3.05,,,
7,10,2019,4.19,19.41,0,3.12,,,
8,10,2019,6.63,25.45,7.62,4.37,,,
9,10,2019,12.01,26.91,0,5.48,,,
10,10,2019,-0.9,15.17,0,3.02,,,
11,10,2019,-3.88,11.37,0,2.63,,,
12,10,2019,-0.94,19.14,0,4.34,,,
13,10,2019,5.95,26.88,0,5.89,,,
14,10,2019,7.98,27.39,0,5.73,,,
15,10,2019,7.47,19.92,0,4.42,,,
16,10,2019,1.71,21.14,0,5,,,
17,10,2019,5.64,25.93,0,5,,,
18,10,2019,8.39,26.74,0,5,,,
19,10,2019,6.45,20.8,0,5,,,
20,10,2019,3.85,23.92,0,5,,,
21,10,2019,-1.31,17.58,0,5,,,
22,10,2019,1.78,19.75,0,5,,,
23,10,2019,5.27,22.06,0,5,,,
24,10,2019,-6.87,7.75,0,5,,,
25,10,2019,-7.38,11.91,2.79,5,,,
26,10,2019,-0.84,24.6,0,5,,,
27,10,2019,1.27,11.51,0,5,,,
28,10,2019,-2.19,4.86,0,5,,,
29,10,2019,-3.48,1.71,0,5,,,
30,10,2019,-9.79,-3.25,0,5,,,
31,10,2019,-10.67,12.96,0,5,,,
1,11,2019,-2.57,13.88,0,5,,,
2,11,2019,-5.04,12.66,0,5,,,
3,11,2019,-0.67,24.7,0,5,,,
4,11,2019,1.61,21.64,0,5,,,
5,11,2019,-1.51,17.78,0,5,,,
6,11,2019,0.65,19.11,0.76,5,,,
7,11,2019,-2.74,0.79,0,5,,,
8,11,2019,0.49,12.66,0.25,5,,,
9,11,2019,-0.05,20.93,0,5,,,
10,11,2019,3.07,24.29,0,5,,,
11,11,2019,-10.4,9.03,0,5,,,
12,11,2019,-11.21,7.63,0,5,,,
13,11,2019,-4.53,22.02,0,5,,,
14,11,2019,-4.16,11.67,0,5,,,
15,11,2019,-1.11,17.17,0,5,,,
